time,latitude,longitude,elevation,pointxyz,distance,elevation_change,cum_elevation,cum_distance,step_feet,gradient_point,gradient_rating
,39.995045,-77.918991,428.899994,"(39.995045, -77.918991, 428.899994)",0.00537122,2.8999939999999924,39.39999399999999,0.5857598699999998,28.360041600000002,8.3,up
,39.995029,-77.918968,430.299988,"(39.995029, -77.918968, 430.299988)",0.00164447,1.3999939999999924,40.799987999999985,0.5874043399999999,8.682801600000001,3.700000000000001,flat
,39.994953,-77.918869,436.600006,"(39.994953, -77.918869, 436.600006)",0.00741856,6.300018000000023,47.10000600000001,0.5948228999999998,39.1699968,-0.8999999999999986,flat
,39.994884,-77.918838,436.100006,"(39.994884, -77.918838, 436.100006)",0.00504194,-0.5,46.60000600000001,0.5998648399999998,26.621443199999998,-5.5,down
,39.994827,-77.918808,435.600006,"(39.994827, -77.918808, 435.600006)",0.00424642,-0.5,46.10000600000001,0.6041112599999998,22.4210976,-6.4,down
,39.994793,-77.918785,435.600006,"(39.994793, -77.918785, 435.600006)",0.00264591,0.0,46.10000600000001,0.6067571699999998,13.9704048,0.0,flat
,39.994755,-77.918739,437.100006,"(39.994755, -77.918739, 437.100006)",0.00358082,1.5,47.60000600000001,0.6103379899999999,18.906729600000002,22.2,bigUp
,39.994682,-77.918686,435.600006,"(39.994682, -77.918686, 435.600006)",0.00577153,-1.5,46.10000600000001,0.6161095199999999,30.4736784,-14.6,down
,39.994667,-77.918755,433.200012,"(39.994667, -77.918755, 433.200012)",0.00379656,-2.3999939999999924,43.700012000000015,0.6199060799999998,20.0458368,-12.45,down
,39.994671,-77.9188,432.700012,"(39.994671, -77.9188, 432.700012)",0.00239795,-0.5,43.200012000000015,0.6223040299999998,12.661176,-10.3,down
,39.994671,-77.918869,433.700012,"(39.994671, -77.918869, 433.700012)",0.00365236,1.0,44.200012000000015,0.6259563899999998,19.284460799999998,14.5,up
,39.994659,-77.918945,435.600006,"(39.994659, -77.918945, 435.600006)",0.00410744,1.8999939999999924,46.10000600000001,0.6300638299999998,21.687283200000003,25.0,bigUp
,39.994656,-77.919006,436.100006,"(39.994656, -77.919006, 436.100006)",0.00323555,0.5,46.60000600000001,0.6332993799999997,17.083703999999997,8.1,up
,39.994648,-77.919045,436.600006,"(39.994648, -77.919045, 436.600006)",0.0021371,0.5,47.10000600000001,0.6354364799999997,11.283888,11.3,up
,39.994637,-77.91909,437.5,"(39.994637, -77.91909, 437.5)",0.00250029,0.8999939999999924,48.0,0.6379367699999997,13.2015312,17.9,bigUp
,39.994621,-77.919159,437.100006,"(39.994621, -77.919159, 437.100006)",0.003816,-0.3999939999999924,47.60000600000001,0.6417527699999998,20.14848,-5.6,down
,39.994587,-77.919235,438.5,"(39.994587, -77.919235, 438.5)",0.00465857,1.3999939999999924,49.0,0.6464113399999998,24.597249599999998,16.5,bigUp
,39.994568,-77.919296,442.799988,"(39.994568, -77.919296, 442.799988)",0.00348557,4.299987999999985,53.299987999999985,0.6498969099999998,18.4038096,12.05,up
,39.994549,-77.919357,443.299988,"(39.994549, -77.919357, 443.299988)",0.00348557,0.5,53.799987999999985,0.6533824799999999,18.4038096,7.6,up
,39.994537,-77.919411,442.799988,"(39.994537, -77.919411, 442.799988)",0.0029762,-0.5,53.299987999999985,0.6563586799999999,15.714336,-8.6,down
,39.994515,-77.919472,443.799988,"(39.994515, -77.919472, 443.799988)",0.00356881,1.0,54.299987999999985,0.6599274899999998,18.8433168,14.8,up
,39.994495,-77.919495,444.299988,"(39.994495, -77.919495, 444.299988)",0.00184167,0.5,54.799987999999985,0.6617691599999999,9.7240176,12.6,up
,39.994461,-77.919472,442.299988,"(39.994461, -77.919472, 442.299988)",0.00264591,-2.0,52.799987999999985,0.6644150699999999,13.9704048,8.65,up
