"Time Period","Activities","Total Distance","Total Activity Time","Activity Calories","Total Ascent","Average Speed","Average Heart Rate","Average Run Cadence","Average Bike Cadence"
"11/04/2018","2","31.09 mi","5:28:12 h:m:s","4,301","2,835 ft","5.7 mph","156 bpm","166 spm","--"
"10/28/2018","3","18.97 mi","3:11:50 h:m:s","2,448","1,506 ft","5.9 mph","144 bpm","169 spm","--"
"10/21/2018","2","28.12 mi","5:16:11 h:m:s","3,861","3,038 ft","5.3 mph","150 bpm","159 spm","--"
"10/14/2018","2","25.13 mi","4:47:17 h:m:s","3,271","2,713 ft","5.2 mph","144 bpm","156 spm","--"
"10/07/2018","2","16.22 mi","2:52:03 h:m:s","2,096","1,322 ft","5.7 mph","148 bpm","168 spm","--"
"09/30/2018","3","22.55 mi","2:55:07 h:m:s","2,525","1,020 ft","7.7 mph","155 bpm","182 spm","--"
"09/23/2018","3","28.08 mi","3:40:10 h:m:s","3,099","951 ft","7.7 mph","153 bpm","183 spm","--"
"09/16/2018","2","18.04 mi","2:20:22 h:m:s","1,973","486 ft","7.7 mph","152 bpm","184 spm","--"
"09/09/2018","2","14.66 mi","1:53:42 h:m:s","1,595","1,037 ft","7.7 mph","153 bpm","182 spm","--"
"09/02/2018","2","13.37 mi","1:45:46 h:m:s","1,533","472 ft","7.6 mph","159 bpm","180 spm","--"
"08/26/2018","2","11.32 mi","1:28:54 h:m:s","1,268","482 ft","7.6 mph","154 bpm","180 spm","--"
"08/19/2018","2","8.29 mi","1:03:38 h:m:s","957","305 ft","7.8 mph","158 bpm","183 spm","--"
"08/12/2018","1","5.01 mi","40:12 h:m:s","594","43 ft","7.5 mph","154 bpm","179 spm","--"
"08/05/2018","1","2.63 mi","24:36 h:m:s","366","302 ft","6.4 mph","155 bpm","164 spm","--"
"07/29/2018","3","12.92 mi","1:44:26 h:m:s","1,363","190 ft","7.4 mph","142 bpm","178 spm","--"
"07/22/2018","2","14.65 mi","1:56:24 h:m:s","1,648","541 ft","7.6 mph","154 bpm","181 spm","--"
"07/15/2018","3","20.63 mi","2:39:45 h:m:s","2,373","423 ft","7.7 mph","158 bpm","182 spm","--"
"07/08/2018","3","8.96 mi","1:11:54 h:m:s","1,029","108 ft","7.5 mph","145 bpm","171 spm","--"
"07/01/2018","1","8.01 mi","1:02:47 h:m:s","938","171 ft","7.7 mph","157 bpm","183 spm","--"
"06/24/2018","2","10.36 mi","1:24:45 h:m:s","1,229","577 ft","7.3 mph","151 bpm","175 spm","--"
"06/17/2018","4","17.87 mi","3:28:27 h:m:s","1,555","584 ft","5.1 mph","117 bpm","141 spm","--"
"06/10/2018","1","4.80 mi","36:21 h:m:s","544","131 ft","7.9 mph","154 bpm","181 spm","--"
"06/03/2018","2","12.67 mi","1:35:14 h:m:s","1,413","312 ft","8.0 mph","153 bpm","183 spm","--"
"05/27/2018","2","10.69 mi","1:19:59 h:m:s","1,179","167 ft","8.0 mph","154 bpm","182 spm","--"
"05/20/2018","3","5.11 mi","34:24 h:m:s","366","200 ft","8.9 mph","130 bpm","178 spm","--"
"05/13/2018","3","30.21 mi","3:10:11 h:m:s","1,524","666 ft","9.5 mph","124 bpm","182 spm","--"
"05/06/2018","2","10.81 mi","1:23:02 h:m:s","1,215","525 ft","7.8 mph","157 bpm","181 spm","--"
"04/29/2018","1","6.00 mi","44:47 h:m:s","623","95 ft","8.0 mph","153 bpm","184 spm","--"
"04/22/2018","1","6.01 mi","45:23 h:m:s","643","115 ft","8.0 mph","154 bpm","183 spm","--"
"04/15/2018","1","4.35 mi","33:06 h:m:s","459","92 ft","7.9 mph","152 bpm","183 spm","--"
"04/08/2018","2","10.53 mi","1:19:59 h:m:s","1,069","243 ft","7.9 mph","148 bpm","183 spm","--"
"04/01/2018","2","53.34 mi","11:02:16 h:m:s","6,676","6,145 ft","4.8 mph","155 bpm","162 spm","--"
"03/25/2018","2","11.15 mi","1:39:16 h:m:s","1,266","1,398 ft","6.7 mph","149 bpm","158 spm","--"
"03/18/2018","1","6.41 mi","53:12 h:m:s","652","171 ft","7.2 mph","145 bpm","179 spm","--"
"03/11/2018","2","14.61 mi","1:54:02 h:m:s","1,600","856 ft","7.7 mph","159 bpm","183 spm","--"
"03/04/2018","3","17.52 mi","3:56:24 h:m:s","2,070","1,499 ft","4.4 mph","137 bpm","142 spm","--"
"02/25/2018","1","5.12 mi","40:58 h:m:s","537","112 ft","7.5 mph","150 bpm","178 spm","--"
"02/18/2018","3","37.52 mi","8:51:45 h:m:s","5,012","5,118 ft","4.2 mph","130 bpm","125 spm","--"
"02/11/2018","1","12.88 mi","2:17:08 h:m:s","1,990","1,201 ft","5.6 mph","158 bpm","158 spm","--"
"02/04/2018","2","24.02 mi","3:19:21 h:m:s","2,951","1,020 ft","7.2 mph","159 bpm","180 spm","--"
"01/28/2018","3","17.77 mi","3:39:35 h:m:s","2,019","1,260 ft","4.9 mph","132 bpm","146 spm","--"
"01/21/2018","4","23.54 mi","5:25:56 h:m:s","2,522","1,699 ft","4.3 mph","119 bpm","126 spm","--"
"01/14/2018","2","14.03 mi","1:48:22 h:m:s","1,594","410 ft","7.8 mph","159 bpm","182 spm","--"
"01/07/2018","1","8.03 mi","1:01:20 h:m:s","871","246 ft","7.9 mph","154 bpm","182 spm","--"
"12/31/2017","1","8.02 mi","1:02:37 h:m:s","900","381 ft","7.7 mph","156 bpm","181 spm","--"
"12/24/2017","1","4.82 mi","38:24 h:m:s","563","112 ft","7.5 mph","154 bpm","183 spm","--"
"12/17/2017","1","6.03 mi","44:12 h:m:s","653","115 ft","8.2 mph","156 bpm","183 spm","--"
"12/03/2017","2","13.11 mi","1:38:30 h:m:s","1,369","745 ft","8.0 mph","149 bpm","183 spm","--"
"11/26/2017","3","30.44 mi","7:12:11 h:m:s","3,562","2,615 ft","4.2 mph","138 bpm","160 spm","--"
"11/19/2017","1","8.01 mi","59:54 h:m:s","815","617 ft","8.0 mph","151 bpm","183 spm","--"
"11/12/2017","3","21.97 mi","2:59:15 h:m:s","2,630","1,076 ft","7.4 mph","153 bpm","178 spm","--"
