time,latitude,longitude,elevation,pointxyz,distance,mph,pace,sec_mile_pace,elevation_change,cum_elevation,cum_distance,second,elapsed_time,step_feet,moving_time
2021-11-19 15:47:03+00:00,38.7748861592263,-77.06058860756457,-23.799999237060547,"(38.7748861592263, -77.06058860756457, -23.799999237060547)",0.00213274,7.6778640000000005,0:07:48.880407,468.8804073632979,0.20000076293945312,-20.799999237060547,6.096796114999996,3250,0:54:10,11.260867200000002,1
2021-11-19 15:47:04+00:00,38.77489160746336,-77.06054569222033,-23.799999237060547,"(38.77489160746336, -77.06054569222033, -23.799999237060547)",0.00234213,8.431668,0:07:06.961783,426.96178265083495,0.0,-20.799999237060547,6.099138244999995,3251,0:54:11,12.3664464,1
2021-11-19 15:47:05+00:00,38.77489361912012,-77.0605038665235,-24.0,"(38.77489361912012, -77.0605038665235, -24.0)",0.00225727,8.126172,0:07:23.013020,443.0130201526623,-0.20000076293945312,-21.0,6.101395514999996,3252,0:54:12,11.9183856,1
2021-11-19 15:47:06+00:00,38.77489311620593,-77.06046547740698,-24.200000762939453,"(38.77489311620593, -77.06046547740698, -24.200000762939453)",0.00206816,7.4453759999999996,0:08:03.521584,483.5215844035278,-0.20000076293945312,-21.200000762939453,6.103463674999996,3253,0:54:13,10.9198848,1
2021-11-19 15:47:07+00:00,38.77489252947271,-77.06042759120464,-24.200000762939453,"(38.77489252947271, -77.06042759120464, -24.200000762939453)",0.00204118,7.348248,0:08:09.912698,489.91269755729525,0.0,-21.200000762939453,6.105504854999996,3254,0:54:14,10.7774304,1
2021-11-19 15:47:08+00:00,38.77488884143531,-77.06039004027843,-24.600000381469727,"(38.77488884143531, -77.06039004027843, -24.600000381469727)",0.00203871,7.339356,0:08:10.506252,490.5062515021754,-0.39999961853027344,-21.600000381469727,6.107543564999996,3255,0:54:15,10.7643888,1
2021-11-19 15:47:09+00:00,38.774893786758184,-77.06035207025707,-24.399999618530273,"(38.774893786758184, -77.06035207025707, -24.399999618530273)",0.00207364,7.465103999999999,0:08:02.243784,482.24378387762584,0.20000076293945312,-21.399999618530273,6.109617204999996,3256,0:54:16,10.948819199999999,1
2021-11-19 15:47:10+00:00,38.77490317448974,-77.06031376495957,-24.799999237060547,"(38.77490317448974, -77.06031376495957, -24.799999237060547)",0.00216291,7.786476,0:07:42.340088,462.3400881220208,-0.39999961853027344,-21.799999237060547,6.111780114999996,3257,0:54:17,11.4201648,1
2021-11-19 15:47:11+00:00,38.77490686252713,-77.06027336418629,-24.600000381469727,"(38.77490686252713, -77.06027336418629, -24.600000381469727)",0.0021911,7.8879600000000005,0:07:36.391767,456.39176669252885,0.1999988555908203,-21.600000381469727,6.113971214999996,3258,0:54:18,11.569008,1
2021-11-19 15:47:12+00:00,38.77490962855518,-77.06023011356592,-24.600000381469727,"(38.77490962855518, -77.06023011356592, -24.600000381469727)",0.00233757,8.415252,0:07:07.794676,427.7946756674666,0.0,-21.600000381469727,6.116308784999996,3259,0:54:19,12.342369600000001,1
2021-11-19 15:47:13+00:00,38.77490686252713,-77.06018694676459,-24.399999618530273,"(38.77490686252713, -77.06018694676459, -24.399999618530273)",0.00233307,8.399052,0:07:08.619801,428.61980137758405,0.20000076293945312,-21.399999618530273,6.1186418549999955,3260,0:54:20,12.3186096,1
2021-11-19 15:47:14+00:00,38.77491306513548,-77.06014503724873,-24.600000381469727,"(38.77491306513548, -77.06014503724873, -24.600000381469727)",0.00229782,8.272152,0:07:15.195098,435.1950979624166,-0.20000076293945312,-21.600000381469727,6.120939674999995,3261,0:54:21,12.1324896,1
2021-11-19 15:47:15+00:00,38.77491222694516,-77.06010404974222,-24.399999618530273,"(38.77491222694516, -77.06010404974222, -24.399999618530273)",0.0022086,7.950959999999999,0:07:32.775514,452.7755139002083,0.20000076293945312,-21.399999618530273,6.123148274999996,3262,0:54:22,11.661408,1
2021-11-19 15:47:16+00:00,38.77490811981261,-77.06006482243538,-24.399999618530273,"(38.77490811981261, -77.06006482243538, -24.399999618530273)",0.00213199,7.675164,0:07:49.045352,469.04535199508445,0.0,-21.399999618530273,6.125280264999995,3263,0:54:23,11.256907199999999,1
2021-11-19 15:47:17+00:00,38.77489856444299,-77.06002802588046,-24.200000762939453,"(38.77489856444299, -77.06002802588046, -24.200000762939453)",0.00208915,7.52094,0:07:58.663571,478.6635713089055,0.1999988555908203,-21.200000762939453,6.127369414999995,3264,0:54:24,11.030712000000001,1
2021-11-19 15:47:18+00:00,38.77489127218723,-77.05999005585909,-24.200000762939453,"(38.77489127218723, -77.05999005585909, -24.200000762939453)",0.00210644,7.583183999999999,0:07:54.734623,474.7346233455499,0.0,-21.200000762939453,6.1294758549999955,3265,0:54:25,11.122003199999998,1
2021-11-19 15:47:19+00:00,38.77488909289241,-77.05995091237128,-24.0,"(38.77488909289241, -77.05995091237128, -24.0)",0.00211388,7.609967999999999,0:07:53.063750,473.0637500709596,0.20000076293945312,-21.0,6.131589734999995,3266,0:54:26,11.1612864,1
