time,latitude,longitude,elevation
,38.65831,-78.58573,475.088043
,38.65834,-78.58575,475.447723
,38.65837,-78.58575,475.663788
,38.6584,-78.58574,475.808014
,38.65843,-78.58575,476.095886
,38.65846,-78.58575,476.311951
,38.65849,-78.58575,476.412659
,38.65853,-78.58575,476.441437
,38.65857,-78.58577,476.639832
,38.65859,-78.58578,476.74649
,38.65862,-78.5858,476.962372
,38.65863,-78.58582,477.160431
,38.65866,-78.58584,477.402252
,38.65869,-78.58586,477.659637
,38.65871,-78.58587,477.804993
,38.65873,-78.58589,478.060852
,38.65875,-78.58591,478.327881
,38.65877,-78.58592,478.422089
,38.65878,-78.58594,478.639435
,38.6588,-78.58596,478.860413
,38.65881,-78.58597,478.974335
,38.65883,-78.58599,479.255341
,38.65885,-78.586,479.400177
,38.65887,-78.58602,479.687439
,38.65889,-78.58603,479.832275
,38.65891,-78.58604,479.975891
,38.65892,-78.58605,480.119537
,38.65895,-78.58607,480.40802
,38.65898,-78.58607,480.40802
,38.659,-78.58609,480.696472
,38.65902,-78.5861,480.840118
,38.65904,-78.5861,480.661224
,38.65907,-78.58611,480.375031
,38.65909,-78.58614,480.566467
,38.65911,-78.58614,480.292999
,38.65913,-78.58615,480.190704
,38.65914,-78.58616,480.230103
,38.65916,-78.58618,480.323761
,38.65918,-78.58618,480.071045
,38.6592,-78.58619,480.009125
,38.65922,-78.5862,479.954956
,38.65924,-78.58622,480.10965
,38.65926,-78.58623,480.084045
,38.65928,-78.58623,479.85733
,38.6593,-78.58625,480.05954
,38.65932,-78.58626,480.172821
,38.65937,-78.58627,480.29303
,38.6594,-78.58629,480.524567
,38.65943,-78.5863,480.577515
,38.65944,-78.58631,480.661469
,38.65947,-78.58634,480.852448
,38.6595,-78.58636,480.871582
,38.65953,-78.58638,480.827454
,38.65956,-78.5864,480.721649
,38.65958,-78.58643,480.679108
,38.6596,-78.58646,481.146118
,38.65963,-78.58647,481.868896
,38.65964,-78.58649,482.14389
,38.65967,-78.58651,482.848419
,38.6597,-78.58651,483.510437
,38.65972,-78.58651,483.950531
,38.65974,-78.58652,484.387848
,38.65976,-78.58653,484.827545
,38.65978,-78.58655,485.331543
,38.6598,-78.58657,485.762512
,38.65982,-78.58658,486.118347
,38.65982,-78.58656,486.115723
,38.65985,-78.5865,486.851654
,38.65986,-78.58648,487.145813
,38.65988,-78.58646,487.771118
,38.65992,-78.58642,489.000916
,38.65995,-78.58641,489.847839
,38.66,-78.58639,491.248474
,38.66004,-78.58637,492.354248
,38.66006,-78.58638,492.880035
,38.66009,-78.58639,493.678131
,38.66011,-78.58639,494.219299
,38.66013,-78.58638,494.761627
,38.66016,-78.58638,495.294647
,38.66019,-78.58639,495.739532
,38.6602,-78.58639,495.883759
,38.66022,-78.58639,496.17218
,38.66024,-78.5864,496.51413
,38.66026,-78.58641,496.87677
,38.66029,-78.58642,497.420471
,38.66031,-78.58643,497.8284
,38.66033,-78.58643,498.159576
,38.66036,-78.58644,498.769989
,38.66038,-78.58646,499.360443
,38.6604,-78.58648,499.992798
,38.66042,-78.58649,500.460144
,38.66044,-78.5865,500.641846
,38.66052,-78.58652,501.208557
,38.66053,-78.58652,501.239441
,38.66062,-78.58656,502.218964
,38.66064,-78.58658,502.632629
,38.66066,-78.58659,502.912964
,38.66068,-78.5866,503.20697
,38.66075,-78.58656,502.733795
,38.66077,-78.58655,502.628937
,38.66079,-78.58654,502.533356
,38.66083,-78.58653,502.520172
,38.66093,-78.58654,502.993042
,38.66098,-78.58643,502.064819
,38.66101,-78.58631,501.114929
,38.66104,-78.58619,499.494171
,38.6611,-78.58609,497.70578
,38.66116,-78.58602,496.207794
,38.66123,-78.58597,494.921295
,38.66126,-78.58595,493.953064
,38.66119,-78.58586,491.135681
,38.66124,-78.58578,488.12915
,38.66128,-78.58577,487.121277
,38.6613,-78.58576,486.374054
,38.66131,-78.58576,486.175934
,38.66134,-78.58577,485.923462
,38.66137,-78.58578,485.654297
,38.6614,-78.58578,485.047638
,38.66149,-78.58575,482.334045
,38.66152,-78.58575,481.750732
,38.66154,-78.58575,481.678802
,38.66156,-78.58576,482.070404
,38.66158,-78.58576,482.184692
,38.66161,-78.58575,482.132446
,38.66167,-78.58572,481.989136
,38.66169,-78.58571,482.00354
,38.66171,-78.58571,482.195648
,38.66173,-78.58572,482.517426
